f=749.840000, dc=829.880000, amp=0.160000, phase=0.940000
f=750.000000, dc=829.720000, amp=0.190000, phase=0.700000
f=750.160000, dc=829.630000, amp=0.150000, phase=0.790000
f=750.470000, dc=829.700000, amp=0.180000, phase=0.680000
f=750.630000, dc=829.870000, amp=0.170000, phase=0.750000
f=750.780000, dc=829.760000, amp=0.200000, phase=0.800000
f=750.940000, dc=829.750000, amp=0.180000, phase=0.880000
f=751.250000, dc=829.630000, amp=0.220000, phase=0.800000
f=751.410000, dc=829.700000, amp=0.190000, phase=0.890000
f=751.570000, dc=829.790000, amp=0.210000, phase=0.850000
f=751.720000, dc=829.690000, amp=0.160000, phase=0.810000
f=752.040000, dc=829.580000, amp=0.210000, phase=0.770000
f=752.190000, dc=829.810000, amp=0.210000, phase=0.770000
f=752.350000, dc=829.700000, amp=0.190000, phase=0.980000
f=752.670000, dc=829.670000, amp=0.200000, phase=0.890000
f=752.820000, dc=829.780000, amp=0.180000, phase=0.730000
f=752.980000, dc=829.810000, amp=0.180000, phase=0.910000
f=753.140000, dc=830.040000, amp=0.190000, phase=0.790000
f=753.450000, dc=829.740000, amp=0.200000, phase=0.820000
f=753.610000, dc=829.720000, amp=0.200000, phase=1.140000
f=753.770000, dc=829.710000, amp=0.200000, phase=0.790000
f=753.930000, dc=829.650000, amp=0.180000, phase=0.740000
f=754.240000, dc=829.860000, amp=0.210000, phase=0.650000
f=754.400000, dc=829.740000, amp=0.210000, phase=0.970000
f=754.560000, dc=829.690000, amp=0.200000, phase=0.840000
f=754.880000, dc=829.940000, amp=0.190000, phase=0.750000
f=755.030000, dc=829.990000, amp=0.190000, phase=0.790000
f=755.190000, dc=829.740000, amp=0.210000, phase=0.960000
f=755.350000, dc=829.960000, amp=0.210000, phase=0.800000
f=755.670000, dc=829.900000, amp=0.220000, phase=0.920000
f=755.830000, dc=829.910000, amp=0.220000, phase=0.980000
f=755.980000, dc=829.970000, amp=0.210000, phase=0.860000
f=756.140000, dc=829.780000, amp=0.220000, phase=0.800000
f=756.460000, dc=829.780000, amp=0.180000, phase=0.910000
f=756.620000, dc=829.930000, amp=0.230000, phase=0.940000
f=756.780000, dc=829.980000, amp=0.200000, phase=0.860000
f=756.940000, dc=829.780000, amp=0.210000, phase=1.120000
f=757.260000, dc=829.610000, amp=0.210000, phase=1.010000
f=757.420000, dc=829.780000, amp=0.210000, phase=1.100000
f=757.580000, dc=829.860000, amp=0.230000, phase=1.060000
f=757.740000, dc=829.650000, amp=0.210000, phase=1.040000
f=758.050000, dc=829.820000, amp=0.230000, phase=0.980000
